url,title,brand_name,product_type,volume_weight,short_description,old_price,current_price
https://www.guardian.com.vn/mat-na-gel-purederm-2-buoc-tinh-chat-lam-sang-mem-min-multi-step-skin-wrapping-rubber-gel-mask-soothing-33g.html,"Mặt Nạ Gel 2 Bước Tinh Chất Làm Sáng, Mềm Mịn Purederm Multi-Step Skin Wrapping Rubber Gel Mask Soothing 33G",PUREDERM,Mặt nạ,33G,"Mặt Nạ Gel 2 Bước Tinh Chất Làm Sáng, Mềm Mịn Purederm Multi-Step Skin Wrapping Rubber Gel Mask Soothing 33G Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:PUREDERM SKU 3025160 56,000₫ 70,000₫ -20 % So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn |...",70,56
https://www.guardian.com.vn/nuoc-duong-lam-mem-giup-ho-tro-sang-da-senka-aqua-bright-spot-less-lotion-200ml.html,Nước Dưỡng Làm Mềm & Giúp Hỗ Trợ Sáng Da Senka Aqua Bright Spot-Less Lotion 200Ml,SENKA,Nước hoa hồng/Toner,200Ml,"Nước Dưỡng Làm Mềm & Giúp Hỗ Trợ Sáng Da Senka Aqua Bright Spot-Less Lotion 200Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SENKA SKU 3019734 206,000₫ So sánh Phân loại: Nước Dưỡng Hóa Đơn SENKA Từ 159K Tặng 1 TRAVEL KIT BAG | 24.9 - 28.10 Áp dụng...",206,206
https://www.guardian.com.vn/tinh-chat-duong-am-neutrogena-hydro-boost-activating-essence-lotion-150ml.html,Tinh Chất Dưỡng Ẩm Hydro Boost Activating Essence Lotion Neutrogena 150Ml,NEUTROGENA,Nước hoa hồng/Toner,150Ml,"Tinh Chất Dưỡng Ẩm Hydro Boost Activating Essence Lotion Neutrogena 150Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:NEUTROGENA SKU 3025188 480,000₫ So sánh Tặng 1 Kem Dưỡng Cấp Ẩm Neutrogena Hydro Boost Hyaluronic Acid Water Gel 15G | 24.9 - 28...",480,480
https://www.guardian.com.vn/mat-na-giay-giup-lam-diu-da-nature-republic-real-nature-aloe-mask-sheet-23ml.html,Mặt Nạ Giấy Giúp Làm Dịu Da Nature Republic Real Nature Aloe Mask Sheet 23Ml,NATURE REPUBLIC,Mặt nạ,23Ml,"Mặt Nạ Giấy Giúp Làm Dịu Da Nature Republic Real Nature Aloe Mask Sheet 23Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:NATURE REPUBLIC SKU 3025230  20,000  - Giá ưu đãi Hội Cam  -31 % Tham gia Hội Cam ngay 23,000₫ 29,000₫ -21 % So sánh Phân loại: ...",29,23
https://www.guardian.com.vn/nuoc-lam-sach-sau-va-tay-trang-la-roche-posay-effaclar-ultra-micellar-cleansing-water-for-oily-skin-danh-cho-da-dau-200ml.html,Nước Làm Sạch Sâu Và Tẩy Trang La Roche-Posay Effaclar Ultra Micellar Cleansing Water For Oily Skin Dành Cho Da Dầu 200Ml,LA ROCHE-POSAY,Tẩy trang,200Ml,"Nước Làm Sạch Sâu Và Tẩy Trang La Roche-Posay Effaclar Ultra Micellar Cleansing Water For Oily Skin Dành Cho Da Dầu 200Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:LA ROCHE-POSAY SKU 3015665 450,000₫ So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh...",450,450
https://www.guardian.com.vn/nuoc-tay-trang-diu-nhe-cho-da-nhay-cam-eucerin-dermato-clean-micellar-cleansing-fluid-3-in-1-200ml.html,Nước Tẩy Trang Dịu Nhẹ Cho Da Nhạy Cảm Eucerin Dermato Clean Micellar 200Ml,EUCERIN,Tẩy trang,200Ml,"Nước Tẩy Trang Dịu Nhẹ Cho Da Nhạy Cảm Eucerin Dermato Clean Micellar 200Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:EUCERIN SKU 3018532 399,000₫ So sánh Phân loại: 200ml Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9...",399,399
https://www.guardian.com.vn/tinh-chat-duong-giup-ho-tro-sang-da-naris-nature-whitening-serum-30ml.html,Tinh Chất Dưỡng Giúp Hỗ Trợ Sáng Da Naris Nature Whitening Serum 30Ml,NATURE,Serum/Tinh chất,30Ml,"Tinh Chất Dưỡng Giúp Hỗ Trợ Sáng Da Naris Nature Whitening Serum 30Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:NATURE SKU 3019723 682,000₫ So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025...",682,682
https://www.guardian.com.vn/gel-tay-te-bao-chet-dabo-aloe-vera-calming-180ml.html,Dung Dịch Tẩy Tế Bào Chết Dạng Gel Aloe Vera Calming Dabo 180Ml,DABO,Tẩy tế bào chết,180Ml,"Dung Dịch Tẩy Tế Bào Chết Dạng Gel Aloe Vera Calming Dabo 180Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:DABO SKU 3023241 169,000₫ So sánh Phân loại: Lô Hội Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 th...",169,169
https://www.guardian.com.vn/sua-rua-mat-l-oreal-paris-glycolic-bright-sang-da-100ml.html,Sữa Rửa Mặt L'Oreal Paris Glycolic Bright Hỗ Trợ Sáng Da 100Ml,L'ORÉAL,Sữa rửa mặt,100Ml,"Sữa Rửa Mặt L'Oreal Paris Glycolic Bright Hỗ Trợ Sáng Da 100Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:L'ORÉAL SKU 3025117 149,000₫ So sánh Phân loại: Mờ Thâm Tặng 1 Nước Tẩy Trang Giúp Căng Mịn Da Loreal HA Micellar Water 95ml | 24.9 - 28.10...",149,149
https://www.guardian.com.vn/tinh-cha-t-chong-nang-duo-ng-tra-ng-da-senka-white-beauty-serum-in-cc-spf50-pa-40gr.html,Tinh Chất Chống Nắng Dưỡng Trắng Da Senka White Beauty Serum In Cc Spf50+ Pa++++ 40Gr,SENKA,Kem chống nắng,40G,"Tinh Chất Chống Nắng Dưỡng Trắng Da Senka White Beauty Serum In Cc Spf50+ Pa++++ 40Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SENKA SKU 3019894 196,000₫ 245,000₫ -20 % So sánh Tặng 1 Móc Khóa Senka | 24.9 - 28.10 Áp dụng 24 thg 9, 2025 - 28 t...",245,196
